OBJECTID,Latitude,Longitude,Initial Source SIT209 Record Date,Incident Name,Incident Number,100% Contained?,IMT Type Assigned (Highest-level),Geographic Area,New to IMSR,IMSR Post Date (ISO Format),IRWIN ID,IRWIN Fire Discovery Date Time,Most Recent Date Posted Flag,Occurrence,Incident Size (Acres),NWCG UniqueFireIdentifier,x,y
19337,34.871,-94.666,12/31/2022 12:00:00 AM,Pine_Mt._Fire,OK-OKS-221460,c,,SAC,y,20230106,a591e42e-88bf-4c6a-b796-1cd32848f7c2,12/30/2022 5:45:00 PM,,ONLY,436,2022-OKOKS-221460,-94.6659999999999,34.871
19339,29.362,-82.6,1/11/2023 12:00:00 AM,NE_CR_337,FL-FLS-230800019,c,,SAC,y,20230113,fb62c439-3fab-4f45-9a33-c37df1bc0adb,1/10/2023 7:30:00 PM,,ONLY,182,2023-FLFLS-230800019,-82.6,29.362
19340,33.203,-99.255,1/11/2023 12:00:00 AM,Cellers_Hill,TX-TXS-230204,c,,SAC,y,20230113,f4ef68a2-3945-47e5-8be2-ed554d7758fb,1/11/2023 11:45:30 PM,,ONLY,695,2023-TXTXS-230204,-99.2549999999999,33.203
19341,27.686,-81.934,1/10/2023 12:00:00 AM,STREAMSONG,FL-FLS-231400007,c,,SAC,,20230120,0507d435-7f15-4171-a30f-e3c949759deb,1/9/2023 5:31:00 PM,,LAST,475,2023-FLFLS-231400007,-81.934,27.686
19343,35.296,-95.924,1/14/2023 12:00:00 AM,RATTLESNAKE_HOLLOW,OK-OMA-000139,c,,SAC,y,20230127,ae75c0c2-c212-412e-b5a1-fabf3fd8d677,1/14/2023 10:27:00 PM,,LAST,888,2023-OKOMA-000139,-95.924,35.296
19348,37.683,-83.221,2/9/2023 12:00:00 AM,Puncheon_Creek,KY-KYS-231530051,c,,SAC,,20230217,a78f6bc3-11d6-4519-bf8d-e2750706e67a,2/9/2023 8:30:00 PM,,LAST,200,2023-KYKYS-231530051,-83.2209999999999,37.683
19349,37.102,-79.461,2/9/2023 12:00:00 AM,Old_Fire_Trail,VA-VAS-2023WR0002,c,,SAC,,20230217,029be733-c347-481e-82bc-21f6925bfb17,2/8/2023 6:00:00 PM,,LAST,125,2023-VAVAS-2023WR0002,-79.461,37.102
19350,33.874,-114.494,2/6/2023 12:00:00 AM,Levee,AZ-CRA-000044,,,SWC,,20230217,92e0605a-c16e-40d4-aaaa-d8d2457ee87f,2/6/2023 5:09:00 AM,,LAST,509,2023-AZCRA-000044,-114.494,33.874
19351,35.856,-104.708,2/6/2023 12:00:00 AM,Mogote,NM-N4S-000018,,,SWC,,20230217,f2566b49-c39d-4d63-8166-0e40b5269593,2/6/2023 7:00:00 PM,,LAST,3803,2023-NMN4S-000018,-104.708,35.8560000000001
19352,37.249,-82.315,2/10/2023 12:00:00 AM,Bartlick_Fire,VA-VAS-23WR00036,c,,SAC,y,20230217,2dd42692-e700-4b5d-ae35-6bc35f3c50ad,2/10/2023 1:30:00 AM,,ONLY,150,2023-VAVAS-23WR00036,-82.3149999999999,37.2490000000001
19353,34.989,-79.471,2/9/2023 12:00:00 AM,Blue,NC-NCS-230004,c,,SAC,y,20230217,08687ccc-9d9b-43bf-9a67-bcc68d916624,2/9/2023 9:30:00 PM,,ONLY,396,2023-NCNCS-230004,-79.4709999999999,34.989
19354,37.547,-83.272,2/15/2023 12:00:00 AM,KY-KYS-0230250119,KY-KYS-0230250119,,,SAC,y,20230217,09c7da69-a066-45c4-b07c-0fbf38d89136,2/14/2023 7:15:00 PM,,ONLY,416,2023-KYKYS-0230250119,-83.2719999999999,37.547
19356,35.337,-94.925,2/19/2023 12:00:00 AM,Red_Hill_23,OK-OKS-230063,,,SAC,y,20230224,de7b4bee-8f57-449c-8410-32b04e926176,2/20/2023 2:50:00 AM,,ONLY,325,2023-OKOKS-230063,-94.925,35.337
19357,36.332,-94.879,2/21/2023 12:00:00 AM,COLEMAN_HOLLOW,OK-CNA-000332,c,,SAC,y,20230224,c88597d2-ba21-413f-af28-fe20051011ed,2/21/2023 10:00:00 PM,,ONLY,224.6,2023-OKCNA-000332,-94.879,36.3320000000001
19358,30.337,-85.874,2/21/2023 12:00:00 AM,STEEL_FIELD_ROAD_(03),FL-FLS-230200125,c,,SAC,y,20230224,940cb4d8-4204-4fcc-8395-52e792328541,2/20/2023 6:45:00 PM,,ONLY,262,2023-FLFLS-230200125,-85.874,30.337
19365,27.758,-81.309,2/27/2023 12:00:00 AM,MELBOURNE,FL-FLS-231400135,,,SAC,y,20230303,da6671b6-2cb1-4290-8b4f-7653e398bd15,2/27/2023 8:11:00 PM,,ONLY,400,2023-FLFLS-231400135,-81.309,27.758
19366,30,-83.633,2/27/2023 12:00:00 AM,ASYMMETRICAL,FL-FLS-230500060,c,,SAC,y,20230303,9580a58a-06b5-4814-9934-dc73b6731aca,2/27/2023 8:15:00 PM,,ONLY,247,2023-FLFLS-230500060,-83.633,30.0000000000001
19367,28.128,-81.123,3/2/2023 12:00:00 AM,SANDY,FL-FLS-231200069,c,,SAC,y,20230303,42af21d8-10db-4460-94a5-cdb364dbbda0,3/2/2023 6:30:00 PM,,ONLY,350,2023-FLFLS-231200069,-81.1229999999999,28.128
19368,31.105,-89.654,2/28/2023 12:00:00 AM,Lymon_Rd.,MS-MSS-008954,c,,SAC,y,20230303,92d505e5-4e26-4c81-ac94-e3c085979cc8,2/28/2023 7:45:00 PM,,ONLY,251,2023-MSMSS-008954,-89.6539999999999,31.1050000000001
19369,32.021,-89.33,2/26/2023 12:00:00 AM,Smith_Rd.,MS-MSS-008901,c,,SAC,y,20230303,d926335d-fb47-4b07-9647-01c4c65f5ecf,2/26/2023 10:15:00 PM,,ONLY,130,2023-MSMSS-008901,-89.33,32.0210000000001
19370,31.054,-89.411,3/2/2023 12:00:00 AM,Lamar_Yawn_School_Road,MS-MSS-008968,c,,SAC,y,20230303,b0228a57-cd2d-458b-9dba-1fbfab8fc1bc,3/2/2023 6:45:00 AM,,ONLY,100,2023-MSMSS-008968,-89.411,31.054
19371,35.273,-102.713,2/26/2023 12:00:00 AM,Big_Fins,TX-TXS-230620,c,,SAC,y,20230303,2a3b4bad-dd8a-49a8-bafd-2d2eb5d9866d,2/26/2023 9:36:47 PM,,ONLY,5569,2023-TXTXS-230620,-102.713,35.273
19372,33.566,-102.461,2/26/2023 12:00:00 AM,Cobble_Switch,TX-TXS-230626,c,,SAC,y,20230303,8481e73b-454f-443c-af98-48d30b097acb,2/27/2023 12:10:30 AM,,ONLY,344,2023-TXTXS-230626,-102.461,33.566
19373,30.643,-86.614,2/25/2023 12:00:00 AM,FL-EAQ-650051,FL-EAQ-650051,c,,SAC,y,20230303,9a5bc4c8-83be-44e3-8767-1c3389d6391a,2/25/2023 7:00:00 PM,,ONLY,430,2023-FLEAQ-650051,-86.614,30.643
19374,30.945,-89.267,2/22/2023 12:00:00 AM,Indian_Creek,MS-MNF-000097,c,,SAC3_,,20230303,c6ce2c2d-8958-4e8f-8182-c02f3e45705a,2/22/2023 9:18:00 PM,,LAST,1771,2023-MSMNF-000097,-89.2669999999999,30.9450000000001
19379,26.57,-81.101,3/3/2023 12:00:00 AM,DOOLEY_GRADE,FL-FLS-231700056,c,,SAC,y,20230310,38d51f20-7d23-4d88-8632-29110fd5de85,3/3/2023 10:00:00 PM,,ONLY,900,2023-FLFLS-231700056,-81.1009999999999,26.5700000000001
19380,37.239,-82.284,3/7/2023 12:00:00 AM,Cherokee,VA-VAS-23WR00123,c,,SAC,y,20230310,7f2721a8-13f1-459e-a666-e4292833c35d,3/6/2023 10:30:00 PM,,ONLY,300,2023-VAVAS-23WR00123,-82.2839999999999,37.239
19381,31.447,-93.056,3/5/2023 12:00:00 AM,Caroline,LA-KIF-000063,c,,SAC,y,20230310,3294d8e0-3b0a-4e37-aef0-3fcd9f8e6d0b,3/4/2023 7:43:00 PM,,ONLY,116,2023-LAKIF-000063,-93.056,31.4470000000001
19382,27.009,-98.394,3/5/2023 12:00:00 AM,Spark,TX-TXS-230726,c,,SAC,y,20230310,f97a37f6-0edb-4f92-8b6b-5357127dfca6,3/4/2023 7:23:15 PM,,ONLY,932,2023-TXTXS-230726,-98.394,27.0090000000001
19383,28.308,-96.945,3/3/2023 12:00:00 AM,Patton,TX-TXS-230725,c,,SAC,y,20230310,1ec99f9f-c387-4140-93c7-d63250da975c,3/3/2023 11:03:25 PM,,ONLY,976,2023-TXTXS-230725,-96.9449999999999,28.308
19384,31.377,-89.905,3/5/2023 12:00:00 AM,Marion_River_Rd,MS-MSS-009050,c,,SAC,y,20230310,d56f6293-7626-4363-a5d2-53a958dd3619,3/6/2023,,ONLY,160,2023-MSMSS-009050,-89.905,31.3770000000001
19385,30.701,-89.449,3/5/2023 12:00:00 AM,Pearl_River,MS-MSS-009055,c,,SAC,y,20230310,dd7d77e3-e984-4818-8a7e-fa0ccb8e1159,3/5/2023 8:15:00 PM,,ONLY,723,2023-MSMSS-009055,-89.449,30.7010000000001
19386,30.299,-89.591,3/7/2023 12:00:00 AM,Hancock_Point_Road,MS-MSS-009069,c,,SAC,y,20230310,8cdf010c-335f-485b-8162-29c6fb06d1c8,3/7/2023 10:00:00 PM,,ONLY,140,2023-MSMSS-009069,-89.591,30.299
19387,30.605,-88.745,3/8/2023 12:00:00 AM,Jackson_Campground,MS-MSS-009083,c,,SAC,y,20230310,3376ebe2-766a-45a2-9676-429a6c9e575c,3/8/2023 10:30:00 PM,,ONLY,591,2023-MSMSS-009083,-88.7449999999999,30.6050000000001
19388,36.695,-96.855,3/6/2023 12:00:00 AM,RED_RIVER_5,OK-OSA-000461,c,,SAC,y,20230310,5671c9de-67e1-4215-97a7-818249b967c3,3/6/2023 9:00:00 PM,,ONLY,315,2023-OKOSA-000461,-96.855,36.6950000000001
19389,30.629,-104.006,2/26/2023 12:00:00 AM,Solar_Park_,TX-TXS-230628,c,,SAC,,20230310,7c4ab556-d025-42a8-a0f4-05c8dd505c12,2/27/2023 1:30:59 AM,,LAST,2816,2023-TXTXS-230628,-104.006,30.6290000000001
19390,35.973,-92.8,3/2/2023 12:00:00 AM,Squirrel_Tree,AR-BUP-000397,c,,SAC,,20230310,1bfccd53-4442-4368-9d1b-33841f39f14c,3/1/2023 10:08:00 PM,,LAST,700,2023-ARBUP-000397,-92.8,35.9730000000001
19391,35.964,-92.839,3/2/2023 12:00:00 AM,Miss_White,AR-BUP-000393,c,,SAC,,20230310,88ac45cf-39db-4571-ac80-9167411148a8,3/1/2023 5:00:00 PM,,LAST,560,2023-ARBUP-000393,-92.8389999999999,35.9640000000001
19392,36.063,-96.428,2/28/2023 12:00:00 AM,STORM,OK-OMA-000388,c,,SAC,,20230310,0a04d5ec-658c-44a7-8471-25bf0c0f7590,2/28/2023 8:00:00 PM,,LAST,519,2023-OKOMA-000388,-96.4279999999999,36.063
19393,31.088,-88.997,2/28/2023 12:00:00 AM,Gillie,MS-MNF-000124,c,,SAC,,20230310,1f1acb9e-c1e1-4623-a670-d5c2309247de,2/28/2023 8:40:00 PM,,LAST,802,2023-MSMNF-000124,-88.997,31.0880000000001
19394,31.096,-89.114,2/28/2023 12:00:00 AM,Middle_Creek,MS-MNF-000114,c,,SAC,,20230310,03d847fa-d5d3-41c8-9dcf-91666defe0c4,2/27/2023 5:22:52 PM,,LAST,375,2023-MSMNF-000114,-89.114,31.0960000000001
19395,31.616,-110.572,3/5/2023 12:00:00 AM,LONGVIEW,AZ-A3S-230131,c,,SWC,y,20230310,5f450e1c-a6b3-4e3d-b040-a37f20173342,3/5/2023 9:53:00 PM,,ONLY,553,2023-AZA3S-230131,-110.572,31.616
19396,39.681,-74.367,3/7/2023 12:00:00 AM,Governors_Branch,NJ-NJS-000151,c,,EACC,y,20230310,643ecf79-773a-4507-a222-fc2a77a430d1,3/7/2023 7:15:00 PM,,ONLY,418,2023-NJNJS-000151,-74.367,39.681
19397,36.65,-92.868,3/3/2023 12:00:00 AM,Prong_Creek,MO-MTF-000095,c,,EACC,,20230310,8f4a39c6-fd98-45ef-a82e-7687e5fb5c17,3/2/2023 3:35:00 PM,,ONLY,361,2023-MOMTF-000095,-92.8679999999999,36.65
19398,38.03,-103.187,3/5/2023 12:00:00 AM,County_Road_DD,CO-BNX-000132,c,,RMC,y,20230310,a59e5dd4-6835-4791-821d-7fef1e3b6c2a,3/5/2023 6:50:00 PM,,ONLY,501,2023-COBNX-000132,-103.187,38.03
19400,34.927,-78.748,3/8/2023 12:00:00 AM,Sophie,NC-NCS-230005,c,,SAC,,20230317,f9ade7c3-e6fe-405e-9211-5b6ae067e6c8,3/7/2023 9:00:00 PM,,LAST,316,2023-NCNCS-230005,-78.7479999999999,34.9270000000001
19402,34.301,-87.374,3/6/2023 12:00:00 AM,BK_Cranal_Road,AL-ALF-230106,c,,SAC,,20230317,81f23c55-e838-4e6f-a613-3b4b41076189,3/6/2023 6:05:00 PM,,LAST,940,2023-ALALF-230106,-87.374,34.301
19405,35.094,-79.869,3/16/2023 12:00:00 AM,Range,NC-NCS-230008,,,SAC,y,20230317,41ecae0d-48a1-4cca-8a61-e6a7f8c288c5,3/16/2023 6:45:00 PM,,ONLY,150,2023-NCNCS-230008,-79.869,35.0940000000001
19409,31.083,-89.633,2/24/2023 12:00:00 AM,Sun_Oil_Rd,MS-MSS-008883,c,,SAC,y,20230317,9ea4395e-7ec4-4154-823d-fad1d31f4ecf,2/24/2023 11:15:00 AM,,ONLY,544,2023-MSMSS-008883,-89.633,31.083
19410,29.647,-94.262,3/15/2023 12:00:00 AM,Strait_Line,TX-MCR-000160,c,,SAC,y,20230317,9ccf237e-31e8-4ed6-aaff-470a19c9184c,3/15/2023 6:31:00 PM,,ONLY,493,2023-TXMCR-000160,-94.2619999999999,29.647
19411,30.38,-84.371,3/9/2023 12:00:00 AM,Triple_3,FL-FNF-000938,c,,SAC,y,20230317,95cc5f23-70bd-4698-a106-95fad6a6bb21,3/9/2023 10:04:00 PM,,ONLY,311,2023-FLFNF-000938,-84.371,30.3800000000001
19412,34.199,-103.213,3/5/2023 12:00:00 AM,Electrical_Line,NM-N5S-000055,c,,SWC,y,20230317,a840939b-2b13-4851-8a0e-902a644114ee,3/5/2023 11:04:00 PM,,ONLY,504,2023-NMN5S-000055,-103.213,34.1990000000001
19414,35.591,-94.768,3/15/2023 12:00:00 AM,Dry_Creek,OK-OKS-230099,c,,SAC,,20230324,34e8a560-fd2c-445c-82dc-51ad3679c0c1,3/15/2023 8:00:00 PM,,LAST,205,2023-OKOKS-230099,-94.768,35.5910000000001
19415,36.723,-96.184,3/15/2023 12:00:00 AM,Young,OK-OSA-000539,c,,SAC,,20230324,f5daa027-f029-409d-8ff9-6d606fd44dc9,3/15/2023 5:00:00 PM,,LAST,529,2023-OKOSA-000539,-96.184,36.7230000000001
19416,29.087,-81.254,3/16/2023 12:00:00 AM,Daytona_Rd,FL-FLS-231000214,c,,SAC,,20230324,bd14fd4a-cf15-48cc-b416-073e28bda369,3/15/2023 5:33:00 PM,,LAST,116,2023-FLFLS-231000214,-81.254,29.087
19417,36.622,-96.139,3/12/2023 12:00:00 AM,Scorpion,OK-OSA-000534,c,,SAC,,20230324,8dc3e0cc-97c5-4bc9-8bd8-c53c1be71ebd,3/11/2023 10:19:00 PM,,LAST,174,2023-OKOSA-000534,-96.139,36.6220000000001
19418,29.115,-81.717,3/5/2023 12:00:00 AM,Bombing_Range_3,FL-FNF-000817,c,,SAC,,20230324,a07b2dc9-dd48-4eed-a9fd-03951a4eb3e9,3/1/2023 7:37:00 PM,,LAST,2755,2023-FLFNF-000817,-81.717,29.1150000000001
19419,25.968,-80.991,3/10/2023 12:00:00 AM,Raccoon,FL-BCP-000944,c,,SAC,,20230324,42991c57-8371-4985-89dd-f038ee1054a2,3/10/2023 7:43:00 PM,,LAST,554,2023-FLBCP-000944,-80.991,25.9680000000001
19422,35.072,-95.4,3/20/2023 12:00:00 AM,Ford_Mtn._Fire,OK-OKS-230116,c,,SAC,y,20230324,2c258746-fed2-46d2-94b3-04919e5455cc,3/20/2023 2:30:00 PM,,ONLY,325,2023-OKOKS-230116,-95.4,35.0720000000001
19423,34.78,-94.956,3/19/2023 12:00:00 AM,East_Creek_Fire,OK-OKS-230114,c,,SAC,y,20230324,c948840d-11cc-48e4-949b-19aff9e9ac7d,3/19/2023 7:30:00 PM,,ONLY,303,2023-OKOKS-230114,-94.956,34.78
19424,28.96,-81.118,3/17/2023 12:00:00 AM,LEFFLER_LANDING,FL-FLS-000004,c,,SAC,y,20230324,2b0fd52c-da70-4546-a707-3514fa35290b,3/17/2023 6:11:00 PM,,ONLY,180,2023-FLFLS-000004,-81.1179999999999,28.96
19425,30.94,-86.945,3/19/2023 12:00:00 AM,CAMP_LOWERY_RD,FL-FLS-230100195,c,,SAC,y,20230324,b980e8d0-ebe2-43c8-b2b5-c1ad625116d0,3/19/2023 5:03:00 PM,,ONLY,400,2023-FLFLS-230100195,-86.9449999999999,30.9400000000001
19426,32.112,-85.218,3/7/2023 12:00:00 AM,HOLY_COW_FIRE,AL-PRI-20230307-7,c,,SAC,y,20230324,4f3cefe4-e7a2-476a-aaf1-e35595e8a48f,3/7/2023 8:14:00 PM,,ONLY,363,2023-ALPRI-20230307-7,-85.218,32.112
19427,36.405,-75.917,3/16/2023 12:00:00 AM,NeverSail,NC-NCS-230009,c,,SAC,y,20230324,4cf8dcd2-1ff5-41ad-81e7-b7711d2f3ff5,3/17/2023 1:30:00 AM,,ONLY,500,2023-NCNCS-230009,-75.917,36.405
19430,37.631,-83.335,3/21/2023 12:00:00 AM,Cutchin_Road,KY-KYS-230250326,c,,SAC,y,20230324,7edb34aa-7e07-4059-9d44-aa5a8c79b4d3,3/21/2023 8:38:00 PM,,ONLY,110,2023-KYKYS-230250326,-83.335,37.631
19431,37.941,-96.431,3/19/2023 12:00:00 AM,230th_and_H,KS-GWX-000162,c,,RMC,y,20230324,735fa636-00f2-48e2-a20c-5e56c1043910,3/19/2023 7:54:00 PM,,ONLY,300,2023-KSGWX-000162,-96.431,37.941
19432,39.107,-96.538,3/20/2023 12:00:00 AM,Pillsbury,KS-RLX-000163,c,,RMC,y,20230324,8f2f19c6-8c42-4be2-b5b9-d7e23e493671,3/20/2023 5:40:00 PM,,ONLY,300,2023-KSRLX-000163,-96.538,39.107
19433,38.097,-102.447,3/22/2023 12:00:00 AM,Manvel,CO-PWX-000178,c,,RMC,y,20230324,c0a323e0-f5e5-4810-b473-2ec6ce0c47c7,3/22/2023 11:00:00 PM,,ONLY,1897,2023-COPWX-000178,-102.447,38.097
19434,32.753,-114.527,3/23/2023 12:00:00 AM,River,AZ-A4S-230169,,,SWC,y,20230324,8a4f03dc-a8ad-480c-9034-41ecb69c6916,3/20/2023 1:46:00 AM,,ONLY,330,2023-AZA4S-230169,-114.527,32.753
19440,35.234,-76.596,3/23/2023 12:00:00 AM,Jones_Island_Club_Road,NC-NCS-230014,,,SAC,y,20230331,f43310fa-777f-4cf3-a886-267068f1b410,3/23/2023 12:15:00 PM,,ONLY,112,2023-NCNCS-230014,-76.5959999999999,35.234
